Iter,Time,LogLik
158,208.925,-8471142.18358604
159,210.209,-8470700.61492998
160,211.457,-8469666.28675475
161,212.710,-8468790.94311347
162,213.967,-8467841.46870671
163,215.244,-8467055.16046692
164,216.508,-8465827.38245628
165,217.781,-8465012.98582188
166,219.025,-8463954.84807846
167,220.304,-8463295.36528888
168,221.566,-8462683.50924291
169,222.821,-8461736.77053455
170,224.124,-8461289.48510753
171,225.384,-8460313.03772451
172,226.626,-8458995.24739556
173,227.892,-8458195.60729604
174,229.176,-8457424.00562587
175,230.469,-8457053.62844262
176,231.730,-8456312.18845878
177,233.007,-8455723.56553052
178,234.274,-8455094.23070233
179,235.532,-8454627.03403799
180,236.779,-8453681.29493513
181,238.072,-8452843.06159551
182,239.347,-8452887.32548933
183,240.612,-8452708.52236094
184,241.903,-8452092.20873297
185,243.167,-8451716.77724072
186,244.437,-8450446.97374985
187,245.680,-8449560.84130680
188,246.968,-8449088.13086373
189,248.231,-8448021.25476959
190,249.483,-8447440.59638859
191,250.760,-8446812.25753381
192,252.022,-8447064.00342176
193,253.285,-8446478.73645536
194,254.536,-8445608.69015808
195,255.819,-8445121.74687668
196,257.080,-8444056.18812832
197,258.343,-8443191.14675100
198,259.592,-8442314.60856495
199,260.819,-8441772.65702402
200,262.083,-8442147.07182056
201,263.344,-8441182.53337889
202,264.630,-8440777.02260259
203,265.854,-8440172.90950096
204,267.124,-8439239.32125312
205,268.390,-8438591.68531053
206,269.611,-8437915.11665463
207,270.874,-8437100.38158087
208,272.144,-8436367.56026071
209,273.422,-8435571.19263036
210,274.649,-8434902.17861964
211,275.919,-8434355.30512944
212,277.198,-8433831.80868108
